№,Equipment category,ISO,Name of ISO
1,"Milling machines (horizontal, vertical, CNC)",ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
1,"Milling machines (horizontal, vertical, CNC)",ISO 10791,Machining centres — Testing conditions
2,"Lathes (universal, CNC)",ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
2,"Lathes (universal, CNC)",ISO 7944,Accuracy of numerical control axes on machine tools
3,Grinding machines,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
3,Grinding machines,ISO 10580,Surface grinding machines — Testing
3,Grinding machines,ISO 10792,Cylindrical grinding machines — Testing
4,Drilling machines,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
4,Drilling machines,ISO 10793,Radial drilling machines — Testing
5,Boring machines,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
5,Boring machines,ISO 10794,Horizontal boring and milling machines — Testing
6,Gear cutting machines,ISO 17085,Gear cutting machines — Safety requirements
6,Gear cutting machines,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
7,Machining centers (CNC),ISO 10791,Machining centres — Testing conditions
7,Machining centers (CNC),ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
7,Machining centers (CNC),ISO 10792-1,Thermal stability testing
8,Bending machines,ISO 16092-3,Mechanical presses — Safety
8,Bending machines,ISO 8980-2,Bending machines — Safety
9,"Shears (guillotine, disc)",ISO 16092-3,Mechanical presses — Safety
9,"Shears (guillotine, disc)",ISO 14243-3,Shearing machines — Safety
10,"Presses (hydraulic, mechanical, crank, eccentric)",ISO 16092-1,Mechanical presses — Safety
10,"Presses (hydraulic, mechanical, crank, eccentric)",ISO 23228,Hydraulic presses — Safety
11,Forging and pressing machines,ISO 16092-2,Forging hammers and presses — Safety
11,Forging and pressing machines,ISO 23228,Hydraulic presses — Safety
12,Sheet metal benders / Press brakes,ISO 8980-2,Bending machines — Safety
12,Sheet metal benders / Press brakes,ISO 14243-3,Shearing machines — Safety
13,Drawing benches / Drawing machines,ISO 16368,Wire drawing machines — Safety
14,Stamping presses,ISO 16092-1,Mechanical presses — Safety
14,Stamping presses,ISO 23228,Hydraulic presses — Safety
15,"Welding machines (MIG/MAG, TIG, manual arc welding)",ISO 60974-1,Arc welding equipment — Safety
15,"Welding machines (MIG/MAG, TIG, manual arc welding)",ISO 4063,Welding — Nomenclature of processes
16,Automatic and semi-automatic welding,ISO 60974-1,Arc welding equipment — Safety
16,Automatic and semi-automatic welding,ISO 15086,Welding automation
17,"Soldering irons, soldering stations",IEC 60950-1,Safety of information technology equipment (for electrical soldering)
17,"Soldering irons, soldering stations",IPC J-STD-006,Requirements for electronic grade solder alloys
18,"Heat treatment furnaces (quenching, tempering, annealing)",ISO 17226,Heat treatment furnaces
18,"Heat treatment furnaces (quenching, tempering, annealing)",ISO 15614-1,Qualification testing
19,Induction heaters,ISO 17226,Heat treatment furnaces
19,Induction heaters,IEC 60529,Protection classes (IP ratings)
20,Injection molding machines (die casting),ISO 12100,Machinery safety
20,Injection molding machines (die casting),ISO 13849-1,Safety-related parts of control systems
21,Extruders,ISO 12100,Machinery safety
21,Extruders,ISO 13849-1,Safety-related parts of control systems
22,Thermoforming machines,ISO 12100,Machinery safety
